,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g2_1,g3_1,g3_2,g4_1,g4_2,g4_3,g4_4,g4_5,g4_6
0,61.0,63.0,10.0,53.0,329.0,25.0,577.0,22.0,28.0,126.0,7490.0,28758.0,13738.0,30548.0,666.0,32.0,25128.0,24788.0,76152.0
1,27.0,37.0,12.0,9.0,78.0,21.0,411.0,13.0,0.0,126.0,2812.0,7050.0,3476.0,4420.0,630.0,16.0,3788.0,4284.0,11040.0
2,196.0,0.0,9.0,43.0,72.0,4.0,72.0,6.0,10.0,17.0,2082.0,7722.0,3552.0,6536.0,1896.0,480.0,6334.0,6060.0,26736.0
3,11.0,83.0,18.0,22.0,134.0,36.0,394.0,62.0,4.0,158.0,3350.0,7830.0,4068.0,6068.0,384.0,0.0,4696.0,3924.0,11640.0
4,275.0,11.0,24.0,116.0,261.0,17.0,126.0,20.0,33.0,53.0,3758.0,9996.0,4472.0,6708.0,84.0,16.0,5376.0,5324.0,17736.0
5,35.0,18.0,12.0,73.0,397.0,21.0,223.0,37.0,28.0,83.0,3780.0,9738.0,5216.0,8456.0,576.0,40.0,6504.0,5976.0,16080.0
6,75.0,54.0,18.0,94.0,418.0,60.0,171.0,32.0,43.0,119.0,4926.0,14172.0,7162.0,12198.0,390.0,32.0,9610.0,9136.0,26496.0
7,49.0,3.0,5.0,18.0,40.0,9.0,14.0,17.0,9.0,15.0,760.0,2268.0,1292.0,2112.0,786.0,128.0,1888.0,1588.0,5112.0
8,103.0,27.0,45.0,21.0,160.0,6.0,75.0,10.0,7.0,26.0,1452.0,2706.0,1982.0,2792.0,1248.0,400.0,1626.0,1368.0,3960.0
9,0.0,8.0,11.0,17.0,109.0,19.0,14.0,19.0,1.0,34.0,548.0,732.0,676.0,856.0,414.0,40.0,522.0,236.0,768.0
10,4.0,76.0,32.0,2.0,126.0,36.0,410.0,46.0,0.0,123.0,2796.0,5598.0,3078.0,3800.0,330.0,16.0,2948.0,2504.0,6768.0
11,331.0,33.0,11.0,129.0,452.0,47.0,185.0,51.0,50.0,76.0,7208.0,24372.0,11892.0,22766.0,1098.0,64.0,18884.0,17988.0,54816.0
12,0.0,23.0,13.0,1.0,18.0,32.0,182.0,33.0,0.0,55.0,920.0,1380.0,1078.0,1270.0,606.0,96.0,828.0,544.0,1416.0
13,10.0,8.0,3.0,1.0,20.0,3.0,80.0,8.0,1.0,20.0,848.0,3954.0,1122.0,1070.0,480.0,24.0,2142.0,2580.0,15792.0
14,117.0,8.0,18.0,23.0,63.0,0.0,12.0,5.0,13.0,8.0,1012.0,2568.0,1552.0,2276.0,984.0,296.0,1800.0,1400.0,5472.0
15,59.0,4.0,3.0,19.0,69.0,3.0,72.0,1.0,1.0,25.0,1178.0,4476.0,1346.0,1546.0,312.0,136.0,2198.0,2724.0,14616.0
16,41.0,11.0,22.0,17.0,65.0,11.0,22.0,15.0,9.0,12.0,826.0,2514.0,1518.0,3096.0,1188.0,328.0,2218.0,1904.0,5688.0
17,117.0,8.0,18.0,23.0,63.0,0.0,12.0,5.0,13.0,8.0,1012.0,2568.0,1552.0,2276.0,984.0,296.0,1800.0,1400.0,5472.0
18,61.0,0.0,12.0,21.0,9.0,2.0,0.0,8.0,13.0,0.0,462.0,1566.0,646.0,944.0,282.0,88.0,918.0,884.0,4800.0
19,1.0,0.0,9.0,5.0,73.0,4.0,137.0,5.0,4.0,13.0,1260.0,4896.0,1606.0,2108.0,516.0,392.0,2408.0,2880.0,16056.0
20,307.0,20.0,33.0,104.0,310.0,45.0,81.0,42.0,45.0,50.0,4294.0,11736.0,5704.0,8598.0,492.0,16.0,7232.0,6844.0,21600.0
21,103.0,6.0,17.0,21.0,125.0,0.0,65.0,2.0,4.0,20.0,1438.0,3378.0,2246.0,3444.0,2064.0,656.0,2154.0,1780.0,6312.0
22,5.0,34.0,17.0,11.0,208.0,15.0,120.0,18.0,4.0,75.0,1386.0,1998.0,1532.0,1834.0,570.0,176.0,1020.0,840.0,1680.0
23,40.0,5.0,10.0,17.0,86.0,4.0,73.0,1.0,11.0,10.0,946.0,2118.0,1204.0,1610.0,588.0,280.0,1380.0,976.0,3024.0
24,55.0,16.0,3.0,31.0,98.0,11.0,233.0,15.0,5.0,53.0,1918.0,4518.0,2572.0,3662.0,810.0,176.0,3044.0,2648.0,7656.0
25,5.0,7.0,12.0,1.0,8.0,7.0,11.0,6.0,2.0,11.0,332.0,1962.0,1116.0,3650.0,1152.0,192.0,3374.0,2976.0,8448.0
26,10.0,8.0,3.0,1.0,20.0,3.0,80.0,8.0,1.0,20.0,848.0,3954.0,1122.0,1070.0,480.0,24.0,2142.0,2580.0,15792.0
27,51.0,18.0,30.0,30.0,153.0,15.0,133.0,24.0,10.0,46.0,1584.0,3450.0,1912.0,2188.0,990.0,232.0,1880.0,1900.0,5664.0
28,63.0,10.0,15.0,26.0,206.0,15.0,269.0,16.0,7.0,55.0,2474.0,5844.0,2830.0,3582.0,690.0,136.0,2964.0,2836.0,9936.0
29,153.0,57.0,10.0,49.0,347.0,35.0,242.0,33.0,19.0,145.0,4838.0,13026.0,6864.0,11222.0,540.0,32.0,8634.0,7960.0,21792.0
30,0.0,10.0,15.0,2.0,29.0,2.0,108.0,4.0,0.0,14.0,636.0,1500.0,940.0,1430.0,642.0,160.0,1018.0,764.0,2808.0
31,4.0,4.0,9.0,1.0,29.0,1.0,51.0,1.0,0.0,21.0,364.0,912.0,286.0,208.0,108.0,88.0,260.0,356.0,1776.0
32,49.0,3.0,5.0,18.0,40.0,9.0,14.0,17.0,9.0,15.0,760.0,2268.0,1292.0,2112.0,786.0,128.0,1888.0,1588.0,5112.0
33,265.0,0.0,16.0,63.0,10.0,16.0,0.0,12.0,43.0,1.0,1734.0,4956.0,3346.0,7492.0,3330.0,360.0,5620.0,4280.0,11232.0
34,145.0,3.0,13.0,34.0,105.0,11.0,17.0,17.0,14.0,12.0,1204.0,2304.0,1552.0,2154.0,486.0,96.0,1478.0,1152.0,2712.0
